Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000151,JM1,Leukemia,
ACH-000492,MUTZ5,Leukemia,
ACH-001738,CCRFCEM,Leukemia,
ACH-000938,NALM6,Leukemia,Primary
ACH-000918,MOLT16,Leukemia,
ACH-000130,NALM19,Leukemia,
ACH-000372,P12ICHIKAWA,Leukemia,
ACH-002216,BE13,Leukemia,
ACH-000519,PEER,Leukemia,
ACH-000922,RCHACV,Leukemia,
ACH-002267,LC41,Leukemia,
ACH-000995,JURKAT,Leukemia,Primary
ACH-001993,NALM16,Leukemia,
ACH-000636,RPMI8402,Leukemia,
ACH-000105,ALLSIL,Leukemia,Primary
ACH-000874,RS411,Leukemia,Primary
ACH-000782,SEM,Leukemia,Primary
ACH-002256,KARPAS45,Leukemia,
ACH-000104,LOUCY,Leukemia,
ACH-001735,SEMK2,Leukemia,
ACH-000960,REH,Leukemia,Primary
ACH-000156,MHHCALL4,Leukemia,
ACH-002058,ATN1,Leukemia,Primary
ACH-002209,ALLPO,Leukemia,
ACH-002211,BALL1,Leukemia,
ACH-001639,ROS50,Leukemia,Primary
ACH-001106,KOPN8,Leukemia,Primary
ACH-000122,SUPT11,Leukemia,
ACH-000070,697,Leukemia,Primary
ACH-000020,MHHCALL2,Leukemia,
ACH-002241,HAL01,Leukemia,
ACH-000953,SUPT1,Leukemia,Metastasis
ACH-000032,MHHCALL3,Leukemia,
ACH-001127,MOLT4,Leukemia,
ACH-000795,MOLT13,Leukemia,
ACH-000197,TALL1,Leukemia,Primary
ACH-002308,SUPB8,Leukemia,
ACH-000059,SUPB15,Leukemia,Primary
ACH-000981,DND41,Leukemia,Primary
ACH-001669,TANOUE,Leukemia,Primary
ACH-002059,P30OHK,Leukemia,Primary
ACH-000728,KASUMI2,Leukemia,
ACH-001737,HSB2,Leukemia,
ACH-000942,HPBALL,Leukemia,Primary
ACH-001736,HB1119,Leukemia,
ACH-000964,MOLT3,Leukemia,
ACH-002238,GRST,Leukemia,
ACH-000101,KE37,Leukemia,
ACH-002275,MN60,Leukemia,
ACH-002222,CTV1,Leukemia,
ACH-000937,PF382,Leukemia,
