Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000195,SET2,Leukemia,
ACH-000006,MONOMAC6,Leukemia,Primary
ACH-000081,GDM1,Leukemia,
ACH-000751,OCIM1,Leukemia,
ACH-000218,PL21,Leukemia,
ACH-000065,OCIAML5,Leukemia,Primary
ACH-000113,OCIAML2,Leukemia,Primary
ACH-000602,M07E,Leukemia,
ACH-000299,HNT34,Leukemia,
ACH-002273,ML2,Leukemia,
ACH-000369,MOLM16,Leukemia,
ACH-000263,KASUMI1,Leukemia,Primary
ACH-000166,KASUMI6,Leukemia,Primary
ACH-000439,ME1,Leukemia,
ACH-002258,KMOE2,Leukemia,
ACH-002390,MC1010,Leukemia,
ACH-000557,AML193,Leukemia,Primary
ACH-001036,CMK115,Leukemia,
ACH-000387,TF1,Leukemia,
ACH-000198,EOL1,Leukemia,
ACH-001618,OCIM2,Leukemia,Primary
ACH-002299,QIMRWIL,Leukemia,
ACH-000487,F36P,Leukemia,Metastasis
ACH-000362,MOLM13,Leukemia,Primary
ACH-000336,OCIAML3,Leukemia,Primary
ACH-001230,UT7,Leukemia,
ACH-000002,HL60,Leukemia,Primary
ACH-000112,SIGM5,Leukemia,
ACH-000045,MV411,Leukemia,Primary
ACH-000770,P31FUJ,Leukemia,
ACH-002218,CESS,Leukemia,
ACH-000034,PLB985,Leukemia,
ACH-000373,SKM1,Leukemia,Primary
ACH-000386,KG1,Leukemia,Primary
ACH-001577,MUTZ8,Leukemia,Primary
ACH-001647,SHI1,Leukemia,Metastasis
ACH-000406,U937,Leukemia,Metastasis
ACH-001656,SKNO1,Leukemia,Metastasis
ACH-001613,OCIAML4,Leukemia,Primary
ACH-000005,HEL9217,Leukemia,
ACH-000146,THP1,Leukemia,Primary
ACH-001574,MOLM14,Leukemia,Primary
ACH-001037,CMK86,Leukemia,
ACH-002290,NKM1,Leukemia,
ACH-002262,KY821,Leukemia,
ACH-000294,NB4,Leukemia,Primary
ACH-002314,TUR,Leukemia,
ACH-000641,CMK,Leukemia,
ACH-000084,MUTZ3,Leukemia,
ACH-000498,KO52,Leukemia,
ACH-001129,MONOMAC1,Leukemia,Primary
ACH-000168,NOMO1,Leukemia,Primary
ACH-000004,HEL,Leukemia,
ACH-000080,BDCM,Leukemia,
