Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-001282,CHLA258,Bone Cancer,
ACH-001033,CHLA57,Bone Cancer,
ACH-001192,SKNEP1,Bone Cancer,Metastasis
ACH-002116,EW22,Bone Cancer,
ACH-001955,JHC7,Bone Cancer,
ACH-000041,RDES,Bone Cancer,Primary
ACH-000424,TC71,Bone Cancer,Primary
ACH-002099,CS1,Bone Cancer,
ACH-000087,SKES1,Bone Cancer,Primary
ACH-001430,TC138,Bone Cancer,
ACH-001206,TTC466,Bone Cancer,
ACH-001957,UMCHOR1,Bone Cancer,
ACH-001283,TC106,Bone Cancer,Metastasis
ACH-002110,EW1,Bone Cancer,Metastasis
ACH-001038,COGE352,Bone Cancer,
ACH-000410,SAOS2,Bone Cancer,Primary
ACH-000359,MG63,Bone Cancer,Primary
ACH-001715,CAL72,Bone Cancer,
ACH-002109,ES8,Bone Cancer,
ACH-002194,RH1,Bone Cancer,Metastasis
ACH-002108,ES7,Bone Cancer,
ACH-000499,EW8,Bone Cancer,
ACH-002118,EW3,Bone Cancer,Metastasis
ACH-001814,OS252,Bone Cancer,Primary
ACH-002119,EW7,Bone Cancer,Metastasis
ACH-001066,EWS834,Bone Cancer,
ACH-001526,HUO9,Bone Cancer,Primary
ACH-000052,A673,Bone Cancer,Primary
ACH-001519,HEMCSS,Bone Cancer,Primary
ACH-000279,EWS502,Bone Cancer,
ACH-002094,CHSA8926,Bone Cancer,
ACH-000039,SKNMC,Bone Cancer,Metastasis
ACH-000418,SW1353,Bone Cancer,Primary
ACH-000391,MHHES1,Bone Cancer,Metastasis
ACH-002114,EW16,Bone Cancer,
ACH-002067,NOS1,Bone Cancer,Primary
ACH-002104,ES3,Bone Cancer,
ACH-001150,OUMS27,Bone Cancer,Primary
ACH-001022,CBAGPN,Bone Cancer,
ACH-002204,UCH2,Bone Cancer,
ACH-001205,TC32,Bone Cancer,
ACH-001193,SKPNDW,Bone Cancer,
ACH-002115,EW18,Bone Cancer,
ACH-002117,EW24,Bone Cancer,
ACH-000516,CAL78,Bone Cancer,
ACH-002113,EW13,Bone Cancer,
ACH-000748,SJSA1,Bone Cancer,Primary
ACH-001032,CHLA32,Bone Cancer,
ACH-001431,TC205,Bone Cancer,
ACH-000082,G292CLONEA141B1,Bone Cancer,Primary
ACH-000210,CADOES1,Bone Cancer,Metastasis
ACH-001818,C396,Bone Cancer,Metastasis
ACH-001029,CHLA10,Bone Cancer,
ACH-002106,ES5,Bone Cancer,
ACH-002160,MCIXC,Bone Cancer,Metastasis
ACH-001034,CHLA9,Bone Cancer,
ACH-001001,143B,Bone Cancer,Primary
ACH-002107,ES6,Bone Cancer,
ACH-002178,NY,Bone Cancer,
ACH-002103,ES1,Bone Cancer,
ACH-002112,EW12,Bone Cancer,
ACH-001035,CHLA99,Bone Cancer,
ACH-002396,SARC9371,Bone Cancer,
ACH-002105,ES4,Bone Cancer,
ACH-000364,U2OS,Bone Cancer,Primary
ACH-002111,EW11,Bone Cancer,Metastasis
ACH-001956,MUGCHOR1,Bone Cancer,
ACH-002093,CHSA0108,Bone Cancer,
ACH-001712,HS860T,Bone Cancer,
ACH-002069,HSOS1,Bone Cancer,Primary
ACH-001030,CHLA218,Bone Cancer,
ACH-002092,CHSA0011,Bone Cancer,
ACH-000613,HOS,Bone Cancer,Primary
ACH-002142,HUO3N1,Bone Cancer,
