Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000200,NMCG1,Brain Cancer,Primary
ACH-000095,D341,Brain Cancer,
ACH-001609,NP3,Brain Cancer,Primary
ACH-000098,GAMG,Brain Cancer,Primary
ACH-000887,SF172,Brain Cancer,
ACH-000469,YH13,Brain Cancer,Primary
ACH-000819,LN18,Brain Cancer,Primary
ACH-000283,A1207,Brain Cancer,
ACH-001610,NP5,Brain Cancer,Primary
ACH-001623,ONDA8,Brain Cancer,Primary
ACH-000208,U178,Brain Cancer,
ACH-002230,D542MG,Brain Cancer,
ACH-000543,SNU489,Brain Cancer,
ACH-000464,CAS1,Brain Cancer,Primary
ACH-001608,NP2,Brain Cancer,Primary
ACH-000629,IOMMLEE,Brain Cancer,
ACH-000067,HS683,Brain Cancer,Primary
ACH-000437,SW1088,Brain Cancer,Primary
ACH-000756,GI1,Brain Cancer,Primary
ACH-000329,CCFSTTG1,Brain Cancer,Primary
ACH-000504,SNB75,Brain Cancer,Primary
ACH-000368,SNU1105,Brain Cancer,Primary
ACH-001118,M059J,Brain Cancer,
ACH-001214,U138MG,Brain Cancer,
ACH-000445,KNS60,Brain Cancer,Primary
ACH-000370,SNU626,Brain Cancer,
ACH-001198,SNB19,Brain Cancer,Primary
ACH-000323,42MGBA,Brain Cancer,Primary
ACH-000655,SF268,Brain Cancer,Primary
ACH-000075,U87MG,Brain Cancer,Primary
ACH-001053,D425,Brain Cancer,
ACH-002227,D392MG,Brain Cancer,
ACH-002065,HSPSS,Sarcoma,Metastasis
ACH-001611,NP8,Brain Cancer,Primary
ACH-000128,LN319,Brain Cancer,
ACH-000215,LN382,Brain Cancer,
ACH-000126,KG1C,Brain Cancer,Primary
ACH-000211,DAOY,Brain Cancer,Primary
ACH-001054,D458,Brain Cancer,
ACH-001622,ONDA7,Brain Cancer,Primary
ACH-002225,D263MG,Brain Cancer,
ACH-000623,SNU201,Brain Cancer,Primary
ACH-002304,SKMG1,Brain Cancer,
ACH-001329,ANGMCSS,Brain Cancer,Primary
ACH-002259,KNS81FD,Brain Cancer,
ACH-002224,D247MG,Brain Cancer,
ACH-000231,KALS1,Brain Cancer,Primary
ACH-000807,SNU738,Brain Cancer,
ACH-000152,M059K,Brain Cancer,Primary
ACH-000490,SF767,Brain Cancer,Metastasis
ACH-000570,YKG1,Brain Cancer,Primary
ACH-002231,D566MG,Brain Cancer,
ACH-001605,NO10,Brain Cancer,Primary
ACH-000776,ONS76,Brain Cancer,Primary
ACH-000389,H4,Brain Cancer,Primary
ACH-000622,KNS42,Brain Cancer,Primary
ACH-001067,F5,Brain Cancer,
ACH-002269,LNZTA3WT4,Brain Cancer,
ACH-000609,SF126,Brain Cancer,Primary
ACH-000738,GB1,Brain Cancer,Primary
ACH-001000,1321N1,Brain Cancer,
ACH-001016,BECKER,Brain Cancer,
ACH-001624,ONDA9,Brain Cancer,Primary
ACH-000760,LNZ308,Brain Cancer,
ACH-000591,LN235,Brain Cancer,
ACH-001232,UW228,Brain Cancer,
ACH-000571,T98G,Brain Cancer,Primary
ACH-000025,CH157MN,Brain Cancer,
ACH-000595,LN229,Brain Cancer,Primary
ACH-000102,GMS10,Brain Cancer,Primary
ACH-000676,LN464,Brain Cancer,
ACH-001126,MOGGUVW,Brain Cancer,
ACH-000479,KNS81,Brain Cancer,Primary
ACH-000863,DBTRG05MG,Brain Cancer,Primary
ACH-000883,SW1783,Brain Cancer,Primary
ACH-000289,SNU466,Brain Cancer,
ACH-002268,LN405,Brain Cancer,
ACH-002226,D336MG,Brain Cancer,
ACH-001606,NO11,Brain Cancer,Primary
ACH-000055,D283MED,Brain Cancer,Metastasis
ACH-001055,D556,Brain Cancer,
ACH-002228,D423MG,Brain Cancer,
ACH-001172,U251MGDM,Brain Cancer,Primary
ACH-000273,SF539,Brain Cancer,Primary
ACH-001052,D384,Brain Cancer,
ACH-000040,U118MG,Brain Cancer,Primary
ACH-000269,AM38,Brain Cancer,Primary
ACH-000455,LN428,Brain Cancer,
ACH-000592,TM31,Brain Cancer,
ACH-000558,A172,Brain Cancer,Primary
ACH-000232,U251MG,Brain Cancer,Primary
ACH-000328,LN215,Brain Cancer,
ACH-000634,LN340,Brain Cancer,
ACH-000137,8MGBA,Brain Cancer,Primary
ACH-000673,LN443,Brain Cancer,
ACH-000027,GOS3,Brain Cancer,Primary
ACH-001125,MOGGCCM,Brain Cancer,
ACH-002066,HSSCH2,Sarcoma,Primary
ACH-002223,D245MG,Brain Cancer,
ACH-002229,D502MG,Brain Cancer,
ACH-000376,SF295,Brain Cancer,Primary
ACH-001201,SUMB002,Brain Cancer,
ACH-000631,KS1,Brain Cancer,Primary
ACH-002257,KINGS1,Brain Cancer,
ACH-000244,DKMG,Brain Cancer,Primary
ACH-000036,U343,Brain Cancer,
ACH-001711,PFSK1,Brain Cancer,Primary
