Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-002201,TCYIK,Cervical Cancer,
ACH-002019,HOKUG,Cervical Cancer,Primary
ACH-001650,SISO,Cervical Cancer,Primary
ACH-001360,MS751,Cervical Cancer,Metastasis
ACH-000556,SIHA,Cervical Cancer,
ACH-001516,HCSC1,Cervical Cancer,Primary
ACH-001451,BOKU,Cervical Cancer,Primary
ACH-001333,C33A,Cervical Cancer,Primary
ACH-001525,HT3,Cervical Cancer,Metastasis
ACH-001335,C4II,Cervical Cancer,Primary
ACH-002180,OMC1,Cervical Cancer,Metastasis
ACH-002020,SKGIIIA,Cervical Cancer,Primary
ACH-001400,SW954,Cervical Cancer,Primary
ACH-001086,HELA,Cervical Cancer,
ACH-001515,HCS2,Cervical Cancer,Metastasis
ACH-001513,HCA1,Cervical Cancer,Metastasis
ACH-001336,CASKI,Cervical Cancer,Metastasis
ACH-001402,SW756,Cervical Cancer,Primary
ACH-001341,DOTC24510,Cervical Cancer,Primary
ACH-001359,ME180,Cervical Cancer,Metastasis
ACH-001334,C4I,Cervical Cancer,Primary
