Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000194,HS934T,Fibroblast,Primary
ACH-000184,HS343T,Fibroblast,
ACH-000125,TO175T,Fibroblast,Metastasis
ACH-000340,HS870T,Fibroblast,
ACH-000083,HS281T,Fibroblast,
ACH-000531,RS5,Fibroblast,
ACH-001093,HS604T,Fibroblast,
ACH-000850,HS698T,Fibroblast,Metastasis
ACH-000284,HS840T,Fibroblast,
ACH-000154,HS888T,Fibroblast,
ACH-000224,HS819T,Fibroblast,
ACH-001018,BJHTERT,Fibroblast,
ACH-000175,TE159T,Fibroblast,
ACH-000229,HS822T,Fibroblast,Primary
ACH-000214,HS675T,Fibroblast,
ACH-000240,HS600T,Fibroblast,Primary
ACH-000134,HS274T,Fibroblast,
ACH-000742,DM3,Fibroblast,
ACH-000526,HS821T,Fibroblast,Primary
ACH-001187,SF8657,Fibroblast,
ACH-000306,HS688AT,Fibroblast,Primary
ACH-000135,HS940T,Fibroblast,Primary
ACH-000180,HS839T,Fibroblast,
ACH-000088,HS172T,Fibroblast,
ACH-000797,HLFA,Fibroblast,Primary
ACH-000275,HS834T,Fibroblast,Metastasis
ACH-000133,HS729,Fibroblast,Primary
ACH-001767,CCLFPEDS0018T,Fibroblast,
ACH-000071,HS706T,Fibroblast,
ACH-000199,HS255T,Fibroblast,
ACH-000131,HS229T,Fibroblast,Primary
ACH-000063,HS616T,Fibroblast,
ACH-000540,HS606T,Fibroblast,
ACH-000230,HS742T,Fibroblast,
ACH-000539,HS618T,Fibroblast,Primary
ACH-000043,HS895T,Fibroblast,Metastasis
ACH-000079,TE125T,Fibroblast,
ACH-000119,HS863T,Fibroblast,
ACH-000529,T173,Fibroblast,
ACH-000185,HS737T,Fibroblast,
ACH-001207,TIG3TD,Fibroblast,
ACH-000413,HS739T,Fibroblast,
ACH-000165,HS751T,Fibroblast,
