Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000649,786O,Kidney Cancer,Primary
ACH-001224,UMRC2,Kidney Cancer,
ACH-001225,UMRC6NEO,Kidney Cancer,Primary
ACH-001688,UMRC7,Kidney Cancer,Primary
ACH-000457,CAL54,Kidney Cancer,Metastasis
ACH-002195,RXF393,Kidney Cancer,
ACH-001532,JMURTK2,Rhabdoid,Metastasis
ACH-000429,A704,Kidney Cancer,Primary
ACH-002188,RCCER,Kidney Cancer,
ACH-000313,KMRC3,Kidney Cancer,Primary
ACH-002189,RCCFG2,Kidney Cancer,
ACH-002199,SN12C,Kidney Cancer,
ACH-002151,LB2241RCC,Kidney Cancer,
ACH-001175,RCC4,Kidney Cancer,
ACH-002192,RCCMF,Kidney Cancer,
ACH-001194,SKRC31,Kidney Cancer,Metastasis
ACH-000234,CAKI2,Kidney Cancer,Primary
ACH-000317,TUHR14TKB,Kidney Cancer,Primary
ACH-000272,SLR24,Kidney Cancer,Primary
ACH-001687,UMRC3,Kidney Cancer,Primary
ACH-000513,SNU1272,Kidney Cancer,
ACH-000459,TUHR10TKB,Kidney Cancer,Primary
ACH-000484,VMRCRCW,Kidney Cancer,Primary
ACH-002187,RCCAB,Kidney Cancer,
ACH-000171,VMRCRCZ,Kidney Cancer,Primary
ACH-000159,OSRC2,Kidney Cancer,Primary
ACH-000096,G401,Rhabdoid,Primary
ACH-000262,UOK101,Kidney Cancer,
ACH-002167,NCC010,Kidney Cancer,
ACH-002090,BB65RCC,Kidney Cancer,
ACH-000250,KMRC20,Kidney Cancer,Primary
ACH-000428,UO31,Kidney Cancer,
ACH-002191,RCCJW,Kidney Cancer,
ACH-000555,A498,Kidney Cancer,Primary
ACH-000411,769P,Kidney Cancer,Primary
ACH-000127,SLR20,Kidney Cancer,Primary
ACH-002155,LB996RCC,Kidney Cancer,
ACH-000495,TUHR4TKB,Kidney Cancer,Primary
ACH-000300,SLR25,Kidney Cancer,Metastasis
ACH-002168,NCC021,Kidney Cancer,
ACH-002150,LB1047RCC,Kidney Cancer,
ACH-001208,TK10,Kidney Cancer,
ACH-000046,ACHN,Kidney Cancer,Metastasis
ACH-000684,KMRC1,Kidney Cancer,Primary
ACH-001398,SW156,Kidney Cancer,Primary
ACH-000385,SKRC20,Kidney Cancer,
ACH-000246,SLR23,Kidney Cancer,Metastasis
ACH-000709,KMRC2,Kidney Cancer,Primary
ACH-002139,HA7RCC,Kidney Cancer,
ACH-002190,RCCJF,Kidney Cancer,
ACH-000433,CAKI1,Kidney Cancer,Metastasis
ACH-000189,RCC10RGB,Kidney Cancer,Primary
ACH-000016,SLR21,Kidney Cancer,Metastasis
ACH-001163,CCLFPEDS0001T,Kidney Cancer,Metastasis
ACH-000600,SLR26,Kidney Cancer,Primary
ACH-000792,BFTC909,Kidney Cancer,Primary
ACH-000907,SNU349,Kidney Cancer,Primary
