Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-001642,SCC3,Lymphoma,Primary
ACH-000944,NAMALWA,Lymphoma,
ACH-001617,OCILY7,Lymphoma,Primary
ACH-000245,BL41,Lymphoma,
ACH-002301,RF48,Lymphoma,
ACH-001147,OCILY12,Lymphoma,
ACH-000656,SUDHL8,Lymphoma,Metastasis
ACH-002254,KARPAS1106P,Lymphoma,
ACH-001132,MTA,Lymphoma,
ACH-000069,HS611T,Lymphoma,
ACH-000157,A4FUK,Lymphoma,Primary
ACH-001450,BLUE1,Lymphoma,Primary
ACH-000534,WSUDLCL2,Lymphoma,Metastasis
ACH-000206,C8166,Lymphoma,
ACH-002055,TL1,Lymphoma,Primary
ACH-000124,OCILY19,Lymphoma,Primary
ACH-001146,OCILY10,Lymphoma,
ACH-002300,RAMOS2G64C10,Lymphoma,
ACH-000583,MC116,Lymphoma,
ACH-000287,NUDUL1,Lymphoma,
ACH-001539,KML1,Lymphoma,Primary
ACH-000365,SUDHL4,Lymphoma,Metastasis
ACH-001677,U2904,Lymphoma,Primary
ACH-002232,DG75,Lymphoma,
ACH-001148,OCILY132,Lymphoma,
ACH-000056,DOHH2,Lymphoma,Metastasis
ACH-000271,SUDHL10,Lymphoma,Metastasis
ACH-000162,GA10,Lymphoma,
ACH-001197,SMZ1,Lymphoma,
ACH-000267,HDLM2,Lymphoma,
ACH-002062,SLVL,Lymphoma,Primary
ACH-000077,MJ,Lymphoma,
ACH-000697,A3KAW,Lymphoma,Primary
ACH-000140,PFEIFFER,Lymphoma,Metastasis
ACH-000567,ST486,Lymphoma,
ACH-000440,CA46,Lymphoma,
ACH-001064,EB2,Lymphoma,
ACH-002236,EB3,Lymphoma,
ACH-000357,JEKO1,Lymphoma,
ACH-000654,RAJI,Lymphoma,
ACH-000038,EHEB,Lymphoma,
ACH-002240,H9,Lymphoma,
ACH-000611,SUDHL6,Lymphoma,Metastasis
ACH-002221,CTB1,Lymphoma,Metastasis
ACH-002392,SC1,Lymphoma,
ACH-002220,CROAP2,Lymphoma,
ACH-000402,BL70,Lymphoma,
ACH-002307,SUDHL16,Lymphoma,
ACH-001680,U698M,Lymphoma,Metastasis
ACH-000660,SUDHL5,Lymphoma,Primary
ACH-001636,RAMOS,Lymphoma,Primary
ACH-001119,MAC2A,Lymphoma,
ACH-001498,FARAGE,Lymphoma,Metastasis
ACH-001068,FEPD,Lymphoma,
ACH-000073,GRANTA519,Lymphoma,Primary
ACH-002215,BC3,Lymphoma,
ACH-000707,P3HR1,Lymphoma,
ACH-000877,EB1,Lymphoma,Primary
ACH-000923,BCP1,Lymphoma,
ACH-000687,CI1,Lymphoma,
ACH-001616,OCILY18,Lymphoma,Primary
ACH-001097,KARPAS384,Lymphoma,
ACH-000053,KARPAS299,Lymphoma,
ACH-000334,DB,Lymphoma,Metastasis
ACH-000158,OCILY3,Lymphoma,Primary
ACH-001703,VAL,Lymphoma,Metastasis
ACH-000786,DAUDI,Lymphoma,
ACH-000068,REC1,Lymphoma,
ACH-000106,JVM2,Lymphoma,
ACH-000702,L1236,Lymphoma,
ACH-001121,MEC2,Lymphoma,
ACH-000398,RI1,Lymphoma,
ACH-000338,SR786,Lymphoma,Primary
ACH-000061,HH,Lymphoma,
ACH-001100,KHYG,Lymphoma,
ACH-002313,TK,Lymphoma,
ACH-001060,DL40,Lymphoma,
ACH-001143,NKL,Lymphoma,
ACH-000285,TOLEDO,Lymphoma,Primary
ACH-000509,HUT78,Lymphoma,
ACH-000315,KARPAS422,Lymphoma,Metastasis
ACH-001709,WSUNHL,Lymphoma,Primary
ACH-000664,SUDHL1,Lymphoma,
ACH-002253,JSC1,Lymphoma,
ACH-001111,L82,Lymphoma,
ACH-001057,DERL2,Lymphoma,
ACH-000914,HT,Lymphoma,
ACH-002214,BC1,Lymphoma,
ACH-000806,L540,Lymphoma,
ACH-000226,SUPM2,Lymphoma,
ACH-000754,L428,Lymphoma,
ACH-002393,CROAP3,Lymphoma,Metastasis
ACH-001638,RCK8,Lymphoma,Primary
ACH-000233,DEL,Lymphoma,
ACH-002255,KARPAS231,Lymphoma,
ACH-000371,RL,Lymphoma,
ACH-000815,KMH2,Lymphoma,Metastasis
ACH-000773,KIJK,Lymphoma,
ACH-001685,UHO1,Lymphoma,Primary
ACH-000388,NUDHL1,Lymphoma,Metastasis
ACH-001203,SUPHD1,Lymphoma,
ACH-002272,MHHPREB1,Lymphoma,
ACH-002245,HS445,Lymphoma,Primary
ACH-000612,HUT102,Lymphoma,
ACH-002252,JIYOYEP2003,Lymphoma,
ACH-000190,HDMYZ,Lymphoma,
ACH-001130,MOTN1,Lymphoma,
ACH-000220,MINO,Lymphoma,
ACH-001533,KARPAS1718,Lymphoma,Primary
ACH-002293,P32ISH,Lymphoma,
ACH-001134,MYLA,Lymphoma,
