Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000259,KELLY,Neuroblastoma,Primary
ACH-001303,NB1643,Neuroblastoma,
ACH-002281,NB14,Neuroblastoma,
ACH-002389,ACN,Neuroblastoma,Metastasis
ACH-002278,NB10,Neuroblastoma,
ACH-000804,NB1,Neuroblastoma,Metastasis
ACH-001716,GOTO,Neuroblastoma,
ACH-002083,NB69,Neuroblastoma,Primary
ACH-002282,NB17,Neuroblastoma,
ACH-002280,NB13,Neuroblastoma,
ACH-002284,NB6,Neuroblastoma,
ACH-002248,IMR5,Neuroblastoma,
ACH-002080,TN2,Neuroblastoma,Primary
ACH-001355,LAN6,Neuroblastoma,Metastasis
ACH-001354,LAN2,Neuroblastoma,Primary
ACH-000260,SKNAS,Neuroblastoma,Metastasis
ACH-001301,COGN278,Neuroblastoma,
ACH-002340,NBSUSSR,Neuroblastoma,
ACH-001188,SHSY5Y,Neuroblastoma,Metastasis
ACH-000312,SKNBE2,Neuroblastoma,Metastasis
ACH-000120,CHP212,Neuroblastoma,
ACH-002277,NBTU110,Neuroblastoma,
ACH-000078,MHHNB11,Neuroblastoma,Metastasis
ACH-001367,NMB,Neuroblastoma,Metastasis
ACH-002285,NB7,Neuroblastoma,
ACH-001670,TASK1,Brain Cancer,Primary
ACH-000310,IMR32,Neuroblastoma,Metastasis
ACH-001366,NGP,Neuroblastoma,Metastasis
ACH-000366,SKNDZ,Neuroblastoma,Metastasis
ACH-001302,COGN305,Neuroblastoma,
ACH-000341,SKNFI,Neuroblastoma,Metastasis
ACH-000136,CHP126,Neuroblastoma,Primary
ACH-000446,KPNSI9S,Neuroblastoma,Metastasis
ACH-001344,GIMEN,Neuroblastoma,Metastasis
ACH-000099,SIMA,Neuroblastoma,
ACH-000227,KPNYN,Neuroblastoma,Metastasis
ACH-002261,KPNYS,Neuroblastoma,
ACH-000345,KPNRTBM1,Neuroblastoma,Metastasis
ACH-000203,NH6,Neuroblastoma,Metastasis
ACH-001548,LS,Neuroblastoma,Metastasis
ACH-000149,SKNSH,Neuroblastoma,Metastasis
ACH-001603,NH12,Neuroblastoma,Primary
ACH-001674,TGW,Neuroblastoma,Primary
ACH-002279,NB12,Neuroblastoma,Metastasis
ACH-001338,CHP134,Neuroblastoma,Primary
ACH-001300,CHLA15,Neuroblastoma,
ACH-002283,NB5,Neuroblastoma,Metastasis
ACH-002217,BE2M17,Neuroblastoma,Metastasis
