Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000193,KARPAS620,Myeloma,Primary
ACH-000419,KMS28BM,Myeloma,Primary
ACH-000817,RPMI8226,Myeloma,Primary
ACH-001162,PCM6,Myeloma,Primary
ACH-000714,KMS11,Myeloma,Primary
ACH-001094,HTK,Myeloma,
ACH-000626,U266B1,Myeloma,
ACH-000183,L363,Myeloma,Primary
ACH-000167,KE97,Myeloma,Metastasis
ACH-000821,EJM,Myeloma,Primary
ACH-000426,KMS20,Myeloma,Primary
ACH-000658,KMS18,Myeloma,Primary
ACH-000653,JJN3,Myeloma,Primary
ACH-000854,OCIMY5,Myeloma,
ACH-000050,NCIH929,Myeloma,Metastasis
ACH-000057,OPM1,Myeloma,
ACH-000436,OCIMY7,Myeloma,
ACH-000838,AMO1,Myeloma,Primary
ACH-000380,KMS12BM,Myeloma,Primary
ACH-000576,KMS27,Myeloma,Primary
ACH-000564,KHM1B,Myeloma,Primary
ACH-000024,OPM2,Myeloma,Primary
ACH-000363,SKMM2,Myeloma,Primary
ACH-001043,COLO775,Myeloma,
ACH-000204,LP1,Myeloma,Primary
ACH-000763,MM1S,Myeloma,Primary
ACH-000829,HUNS1,Myeloma,
ACH-000745,MOLP8,Myeloma,Primary
ACH-000598,KMS21BM,Myeloma,Primary
ACH-000541,KMS34,Myeloma,Primary
ACH-000453,MOLP2,Myeloma,Primary
ACH-000512,INA6,Myeloma,
ACH-000588,KMS26,Myeloma,Primary
ACH-001541,KMS28PE,Myeloma,Primary
ACH-000889,KMM1,Myeloma,Primary
