Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-001274,SW982,Sarcoma,
ACH-001796,95T1000,Liposarcoma,
ACH-002271,MFHINO,Sarcoma,
ACH-000160,BT12,Rhabdoid,
ACH-001540,KMLS1,Liposarcoma,Primary
ACH-000835,GCT,Sarcoma,Metastasis
ACH-000054,HT1080,Sarcoma,Metastasis
ACH-000449,MESSA,Sarcoma,Primary
ACH-001765,RH4,Sarcoma,Metastasis
ACH-001164,CCLFPEDS0003T,Sarcoma,
ACH-001802,LPS853,Liposarcoma,
ACH-001280,SCS214,Sarcoma,
ACH-001196,SMSCTR,Sarcoma,
ACH-000689,RH18,Sarcoma,
ACH-000172,TM87,Rhabdoid,Metastasis
ACH-000533,NCIH2004RT,Rhabdoid,
ACH-002309,SW684,Sarcoma,
ACH-001211,TTC549,Rhabdoid,
ACH-001804,LPS510,Liposarcoma,
ACH-000939,SKUT1,Sarcoma,Primary
ACH-000505,RKN,Sarcoma,Primary
ACH-000375,G402,Kidney Cancer,Primary
ACH-001433,CCLFPEDS0008T,Sarcoma,Metastasis
ACH-002334,SS1A,Sarcoma,
ACH-001059,DL,Rhabdoid,
ACH-000051,TE617T,Sarcoma,Primary
ACH-001210,TTC1240,Rhabdoid,Metastasis
ACH-001794,93T449,Liposarcoma,Primary
ACH-002246,HS633T,Sarcoma,
ACH-000597,TTC709,Rhabdoid,
ACH-001322,CME1,Sarcoma,
ACH-000100,RH41,Sarcoma,Metastasis
ACH-001189,SJRH30,Sarcoma,Metastasis
ACH-002048,RMSYM,Sarcoma,Metastasis
ACH-000607,KYM1,Rhabdoid,Primary
ACH-001289,COGAR359,Rhabdoid,
ACH-002085,HSSYII,Sarcoma,Metastasis
ACH-001128,MON,Rhabdoid,
ACH-001270,127399,Sarcoma,
ACH-001807,LPS067,Liposarcoma,Primary
ACH-001272,FUJI,Sarcoma,
ACH-000201,A204,Rhabdoid,Primary
ACH-000772,TE441T,Sarcoma,
ACH-001200,STM9101,Rhabdoid,Metastasis
ACH-001743,RC2,Sarcoma,Metastasis
ACH-001031,CHLA266,Rhabdoid,
ACH-001096,JR,Sarcoma,
ACH-000833,RH30,Sarcoma,Metastasis
ACH-001184,SCMCRM2,Sarcoma,Metastasis
ACH-001791,LPS6,Liposarcoma,
ACH-001028,CHLA06ATRT,Rhabdoid,
ACH-000145,SKLMS1,Sarcoma,Primary
ACH-001793,LPS27,Liposarcoma,
ACH-000037,S117,Sarcoma,
ACH-001750,TTC442,Sarcoma,
ACH-001740,RH28,Sarcoma,Metastasis
ACH-002310,SW872,Liposarcoma,
ACH-001050,CW9019,Sarcoma,
ACH-001109,KPMRTRY,Rhabdoid,
ACH-001795,94T778,Liposarcoma,
ACH-001275,SYO1,Sarcoma,
ACH-001702,VAESBJ,Sarcoma,Metastasis
ACH-001751,RH36,Sarcoma,
ACH-000169,RD,Sarcoma,Primary
ACH-001099,KD,Rhabdoid,
ACH-001020,BT16,Rhabdoid,
ACH-001745,RHJT,Sarcoma,
ACH-001277,YAMATO,Sarcoma,Metastasis
ACH-001212,TTC642,Rhabdoid,
ACH-001799,LPS141,Liposarcoma,
