Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-002379,J82EBV,Unknown,
ACH-002378,HCC1143BL,Unknown,
ACH-002365,NCIBL1770,Unknown,
ACH-002372,NCIBL2171,Unknown,
ACH-002370,NCIBL2122,Unknown,
ACH-002364,NCIBL1437,Unknown,
ACH-001182,RPMI6666,Unknown,
ACH-002351,L542,Unknown,
ACH-002342,BB30PBL,Unknown,
ACH-002376,LS1034PBL,Unknown,
ACH-002382,HCC1395BL,Unknown,
ACH-002377,HCC38BL,Unknown,
ACH-002355,LB373EBV,Unknown,
ACH-002349,GBM001,Unknown,
ACH-002362,NCIBL128,Unknown,
ACH-002380,COLO829BL,Unknown,
ACH-002366,NCIBL2009,Unknown,
ACH-002357,LB771PBL,Unknown,
ACH-002321,HBL100,Unknown,
ACH-002348,DIPG007,Unknown,
ACH-002369,NCIBL209,Unknown,
ACH-002336,HCET,Unknown,
ACH-002381,HCC2157BL,Unknown,
ACH-002371,NCIBL2126,Unknown,
ACH-002352,LB1047EBV,Unknown,
ACH-002358,LB831EBV,Unknown,
ACH-002360,MZ1B,Unknown,
ACH-002374,HCC1599BL,Unknown,
ACH-002350,HA7EBV,Unknown,
ACH-002368,NCIBL2087,Unknown,
ACH-002343,BB49EBV,Unknown,
ACH-002353,LB2241EBV,Unknown,
ACH-002356,LB647PBL,Unknown,
ACH-002373,HCC1187BL,Unknown,
ACH-002375,HCC1937BL,Unknown,
ACH-002384,HCC1954BL,Unknown,
ACH-002363,NCIBL1395,Unknown,
ACH-002367,NCIBL2052,Unknown,
ACH-002347,CP66EBV,Unknown,
ACH-002344,BB65EBV,Unknown,
ACH-002346,CP50EBV,Unknown,
ACH-002361,MZ7B,Unknown,
ACH-002354,LB2518EBV,Unknown,
ACH-002383,HCC2218BL,Unknown,
