Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000974,SNGM,Endometrial/Uterine Cancer,Metastasis
ACH-001517,HEC1,Endometrial/Uterine Cancer,Primary
ACH-001655,SKN,Endometrial/Uterine Cancer,Primary
ACH-000940,AN3CA,Endometrial/Uterine Cancer,Metastasis
ACH-000192,MFE280,Endometrial/Uterine Cancer,Primary
ACH-001530,JEG3,Endometrial/Uterine Cancer,Metastasis
ACH-000941,HEC1B,Endometrial/Uterine Cancer,Primary
ACH-000879,MFE296,Endometrial/Uterine Cancer,Primary
ACH-000954,HEC1A,Endometrial/Uterine Cancer,Primary
ACH-001651,SKGI,Endometrial/Uterine Cancer,Primary
ACH-001529,JAR,Endometrial/Uterine Cancer,Primary
ACH-000972,HEC151,Endometrial/Uterine Cancer,Primary
ACH-000965,RL952,Endometrial/Uterine Cancer,Primary
ACH-000909,JHUEM2,Endometrial/Uterine Cancer,Primary
ACH-000397,TEN,Endometrial/Uterine Cancer,Primary
ACH-000435,EFE184,Endometrial/Uterine Cancer,Metastasis
ACH-002046,HTMMT,Endometrial/Uterine Cancer,Primary
ACH-002027,HOUAI,Endometrial/Uterine Cancer,Primary
ACH-001652,SKGII,Endometrial/Uterine Cancer,Primary
ACH-000946,HEC265,Endometrial/Uterine Cancer,Primary
ACH-001518,HEC116,Endometrial/Uterine Cancer,Primary
ACH-001495,EMTOKA,Endometrial/Uterine Cancer,Primary
ACH-000978,EN,Endometrial/Uterine Cancer,Primary
ACH-000913,ESS1,Endometrial/Uterine Cancer,Primary
ACH-002021,T3M3,Endometrial/Uterine Cancer,Primary
ACH-000173,JHUEM3,Endometrial/Uterine Cancer,
ACH-000996,HEC251,Endometrial/Uterine Cancer,Primary
ACH-000864,COLO684,Endometrial/Uterine Cancer,Primary
ACH-000961,ISHIKAWAHERAKLIO02ER,Endometrial/Uterine Cancer,Primary
ACH-000928,JHUEM1,Endometrial/Uterine Cancer,Primary
ACH-000407,SNU685,Endometrial/Uterine Cancer,Primary
ACH-002026,HHUA,Endometrial/Uterine Cancer,Primary
ACH-000993,JHUEM7,Endometrial/Uterine Cancer,Primary
ACH-000831,HEC50B,Endometrial/Uterine Cancer,Metastasis
ACH-000994,HEC59,Endometrial/Uterine Cancer,Primary
ACH-000988,MFE319,Endometrial/Uterine Cancer,
ACH-000990,HEC108,Endometrial/Uterine Cancer,Primary
ACH-000984,HEC6,Endometrial/Uterine Cancer,Primary
ACH-000293,KLE,Endometrial/Uterine Cancer,Primary
ACH-000302,SNU1077,Endometrial/Uterine Cancer,Primary
