LongTable-checkbox,lineage1,lineage2,lineage3,depmapId,displayName, Primary Disease
TRUE,Soft Tissue,Synovial Sarcoma,,ACH-001270,127399,Sarcoma
TRUE,Central Nervous System,Glioma,Astrocytoma,ACH-001000,1321N1,Brain Cancer
TRUE,Bone,Osteosarcoma,,ACH-001001,143B,Bone Cancer
TRUE,Breast,,,ACH-002319,184A1,Breast Cancer
TRUE,Engineered,,,ACH-001827,184B5,Non-Cancerous
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-002089,201T,Lung Cancer
TRUE,Breast,Breast Carcinoma,,ACH-002399,21NT,Breast Cancer
TRUE,Prostate,Prostate Adenocarcinoma,,ACH-000956,22RV1,Prostate Cancer
TRUE,Gastric,Gastric Adenocarcinoma,,ACH-000948,2313287,Gastric Cancer
TRUE,Urinary Tract,Bladder Carcinoma,,ACH-000011,253J,Bladder Cancer
TRUE,Urinary Tract,Bladder Carcinoma,,ACH-000026,253JBV,Bladder Cancer
TRUE,Central Nervous System,Glioma,Astrocytoma,ACH-000323,42MGBA,Brain Cancer
TRUE,Skin,Melanoma,,ACH-001002,451LU,Skin Cancer
TRUE,Urinary Tract,Bladder Carcinoma,,ACH-000905,5637,Bladder Cancer
TRUE,Ovary,Ovary Adenocarcinoma,High Grade Serous,ACH-000520,59M,Ovarian Cancer
TRUE,Breast,,,ACH-002320,600MPE,Breast Cancer
TRUE,Urinary Tract,Bladder Carcinoma,Bladder Transitional Cell,ACH-000973,639V,Bladder Cancer
TRUE,Urinary Tract,Bladder Carcinoma,,ACH-000896,647V,Bladder Cancer
TRUE,Blood,ALL,B-cell,ACH-000070,697,Leukemia
TRUE,Kidney,Renal Cell Carcinoma,Clear Cell,ACH-000411,769P,Kidney Cancer
TRUE,Kidney,Renal Cell Carcinoma,Clear Cell,ACH-000649,786O,Kidney Cancer
TRUE,Thyroid,Thyroid Carcinoma,,ACH-001306,8305C,Thyroid Cancer
TRUE,Thyroid,Thyroid Carcinoma,,ACH-001307,8505C,Thyroid Cancer
TRUE,Central Nervous System,Glioma,Astrocytoma,ACH-000137,8MGBA,Brain Cancer
TRUE,Eye,Uveal Melanoma,,ACH-001441,921,Eye Cancer
TRUE,Soft Tissue,Liposarcoma,WDLPS,ACH-001794,93T449,Liposarcoma
TRUE,Soft Tissue,Liposarcoma,WDLPS,ACH-001795,94T778,Liposarcoma
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-001999,9505BIK,Pancreatic Cancer
TRUE,Soft Tissue,Liposarcoma,WDLPS,ACH-001796,95T1000,Liposarcoma
TRUE,Skin,Melanoma,,ACH-000008,A101D,Skin Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000283,A1207,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000558,A172,Brain Cancer
TRUE,Soft Tissue,Malignant Rhabdoid Tumor,,ACH-000201,A204,Rhabdoid
TRUE,Skin,Melanoma,,ACH-000788,A2058,Skin Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Salivary Gland,ACH-000740,A253,Head and Neck Cancer
TRUE,Ovary,Ovary Adenocarcinoma,Endometrioid,ACH-000657,A2780,Ovarian Cancer
TRUE,Skin,Melanoma,,ACH-000219,A375,Skin Cancer
TRUE,Skin,,,ACH-002874,A375RPMI,Skin Cancer
TRUE,Skin,Melanoma,,ACH-002001,A375SKINCJ1,Skin Cancer
TRUE,Skin,Melanoma,,ACH-002002,A375SKINCJ2,Skin Cancer
TRUE,Skin,Melanoma,,ACH-002003,A375SKINCJ3,Skin Cancer
TRUE,Epidermoid Carcinoma,Skin Squamous ,,ACH-001442,A388,Skin Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,DLBCL,ACH-000697,A3KAW,Lymphoma
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000757,A427,Lung Cancer
TRUE,Skin,Skin Squamous,,ACH-001328,A431,Skin Cancer
TRUE,Kidney,Renal Cell Carcinoma,,ACH-000555,A498,Kidney Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,DLBCL,ACH-000157,A4FUK,Lymphoma
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000681,A549,Lung Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-000052,A673,Bone Cancer
TRUE,Engineered Bone,Ewing Sarcoma,,ACH-001007,A673STAG2KO16,Engineered
TRUE,Engineered Bone,Ewing Sarcoma,,ACH-001008,A673STAG2KO45,Engineered
TRUE,Engineered Bone,Ewing Sarcoma,,ACH-001009,A673STAG2NT14,Engineered
TRUE,Engineered Bone,Ewing Sarcoma,,ACH-001010,A673STAG2NT23,Engineered
TRUE,Kidney,Renal Cell Carcinoma,,ACH-000429,A704,Kidney Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000528,ABC1,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-000086,ACCMESO1,Lung Cancer
TRUE,Kidney,Renal Cell Carcinoma,,ACH-000046,ACHN,Kidney Cancer
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-002389,ACN,Neuroblastoma
TRUE,Gastric,Gastric Adenocarcinoma,,ACH-000880,AGS,Gastric Cancer
TRUE,Blood,ALL,B-cell,ACH-002209,ALLPO,Leukemia
TRUE,Blood,ALL,T-cell,ACH-000105,ALLSIL,Leukemia
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000269,AM38,Brain Cancer
TRUE,Blood,AML,M5,ACH-000557,AML193,Leukemia
TRUE,Plasma Cell,Multiple Myeloma,Plasmacytoma,ACH-000838,AMO1,Myeloma
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000940,AN3CA,Endometrial/Uterine Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-001329,ANGMCSS,Brain Cancer
TRUE,Engineered,,,ACH-002210,ARH77,Non-Cancerous
TRUE,Thyroid,Thyroid Carcinoma,,ACH-001443,ASH3,Thyroid Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-000222,ASPC1,Pancreatic Cancer
TRUE,Blood,ALL,T-cell,ACH-002058,ATN1,Leukemia
TRUE,Breast,Breast Adenocarcinoma,ERneg HER2pos,ACH-000248,AU565,Breast Cancer
TRUE,Gastric,Duodenal Adenocarcinoma,,ACH-001015,AZ521,Gastric Cancer
TRUE,Blood,ALL,B-cell,ACH-002211,BALL1,Leukemia
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,,ACH-002212,BB30HNC,Head and Neck Cancer
TRUE,Unknown,,,ACH-002342,BB30PBL,Unknown
TRUE,Unknown,,,ACH-002343,BB49EBV,Unknown
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,,ACH-002213,BB49HNC,Head and Neck Cancer
TRUE,Unknown,,,ACH-002344,BB65EBV,Unknown
TRUE,Kidney,Renal Cell Carcinoma,,ACH-002090,BB65RCC,Kidney Cancer
