chr	start	end
chr1	3504875	3505502
chr1	3660705	3662613
chr1	4322537	4322739
chr1	4406854	4407221
chr1	4456757	4456861
chr1	4463403	4463498
chr1	4469863	4469954
chr1	4481886	4483736
chr1	4486408	4487225
chr1	4487903	4488041
chr1	4561489	4562247
chr1	4592338	4592721
chr1	4613420	4613606
chr1	4679072	4679171
chr1	4746148	4746767
chr1	4752049	4752442
chr1	4755330	4755455
chr1	4756761	4757023
chr1	4757269	4757787
chr1	4758437	4758856
chr1	4760090	4760829
chr1	4765130	4765825
chr1	4770242	4770568
chr1	4775374	4776378
chr1	4791724	4792017
chr1	4797505	4798564
chr1	4813903	4813955
chr1	4817411	4817529
chr1	4820669	4820751
chr1	4824280	4824621
chr1	4837074	4837315
chr1	4838313	4838365
chr1	4841935	4842128
chr1	4847240	4848674
chr1	4856358	4856583
chr1	4857139	4857201
chr1	4863184	4864561
chr1	4870864	4870993
chr1	4874754	4875195
chr1	4878661	4878759
chr1	4889643	4889712
chr1	4891227	4891352
chr1	4894149	4894236
chr1	4897010	4897447
chr1	4897989	4898329
chr1	4901873	4901954
chr1	4904765	4904859
chr1	4934602	4935647
chr1	5008145	5008269
chr1	5008654	5008904
chr1	5009384	5009830
chr1	5010107	5010182
chr1	5012882	5013062
chr1	5072794	5073807
chr1	5096700	5096858
chr1	5578449	5578723
chr1	5906697	5907518
chr1	6204223	6205603
chr1	6211354	6211409
chr1	6213080	6213171
chr1	6216212	6216422
chr1	6216735	6217356
chr1	6222507	6222594
chr1	6224614	6224735
chr1	6233207	6233271
chr1	6246260	6247013
chr1	6262294	6262586
chr1	6272453	6273311
chr1	6278574	6278806
chr1	6349057	6349490
chr1	6372721	6373345
chr1	6379155	6379360
chr1	6396351	6396859
chr1	6408205	6408383
chr1	6431225	6431782
chr1	7078507	7079467
chr1	7103254	7103422
chr1	7131814	7131965
chr1	7194824	7195102
chr1	7196429	7197070
chr1	7387032	7387291
chr1	7387722	7388528
chr1	7395715	7396018
chr1	9288643	9288903
chr1	9289535	9289598
chr1	9459652	9459937
chr1	9525957	9526681
chr1	9535030	9536134
chr1	9538062	9538562
chr1	9547631	9547757
chr1	9553872	9555097
chr1	9555366	9555498
chr1	9563103	9563765
chr1	9574911	9575112
chr1	9600485	9600560
chr1	9611468	9612301
chr1	9621185	9621943
chr1	9634499	9634627
chr1	9638724	9638915
chr1	9639484	9639595
chr1	9650900	9651030
chr1	9677247	9677346
chr1	9689869	9691172
chr1	9701702	9702072
chr1	9702828	9702944
chr1	9704133	9704225
chr1	9707855	9708218
chr1	9708923	9709440
chr1	9716798	9717001
chr1	9718535	9718703
chr1	9719986	9720354
chr1	9723754	9724117
chr1	9726617	9727125
chr1	9729104	9729256
chr1	9729805	9729988
